category;term;reason;suggestions;reference;comment
racial;illegal worker;"The term ""illegal worker"" and its variations, such as ""illegal immigrant"" and ""illegal alien,"" are considered biased and dehumanising towards the migrant community due to their implications of illegality tied to a person's existence. More inclusive to use terms that respect the humanity of individuals without associating their legal status with their personal identity.";"""undocumented people,"" ""immigrants"" ";April 30, 2024 by Heather Barbour in Diversity and Inclusion;https://blog.ongig.com/diversity-and-inclusion/biased-language-examples/
racial;long time no see;"The phrase ""long time no see"" is considered offensive by some as it originated from mocking Chinese pidgin English and Native American speech patterns. Recognised for its racial insensitivity, it's better to use alternatives that avoid cultural mockery and are more inclusive.";"""it has been a while""";April 30, 2024 by Heather Barbour in Diversity and Inclusion;https://blog.ongig.com/diversity-and-inclusion/biased-language-examples/
masculine;man hours;"The term ""man hours"" carries gender bias, suggesting that work is exclusively performed by men. More inclusive alternatives avoid gender-specific language and are more appropriate for describing the collective effort of a diverse workforce.";"""staff hours,"" ""people hours,"" ""work time""";April 30, 2024 by Heather Barbour in Diversity and Inclusion;https://blog.ongig.com/diversity-and-inclusion/biased-language-examples/
masculine;man-hours;"The term ""man-hours"" carries gender bias, suggesting that work is exclusively performed by men. More inclusive alternatives avoid gender-specific language and are more appropriate for describing the collective effort of a diverse workforce.";"""staff hours,"" ""people hours,"" ""work time""";April 30, 2024 by Heather Barbour in Diversity and Inclusion;https://blog.ongig.com/diversity-and-inclusion/biased-language-examples/
masculine;man hour;"The term ""man hour"" carries a gender bias by implying that only men perform work, potentially excluding or diminishing the contributions of those who are not men. More inclusive and neutral alternatives avoid perpetuating gender biases and ensure a more equitable representation of all workers.";"""staff hours,"" ""people hours,"" ""work time"" ";April 30, 2024 by Heather Barbour in Diversity and Inclusion;https://blog.ongig.com/diversity-and-inclusion/biased-language-examples/
racial;spirit animal;"The phrase ""spirit animal"" is considered offensive when used casually, as it appropriates a concept that holds significant spiritual importance in various Indigenous cultures, including those of American Indians. Using this term to describe personal preferences trivialises these deeply held cultural beliefs. More appropriate alternatives avoid cultural insensitivity.";"""BFF,"" ""friend,"" ""soul mate""";April 30, 2024 by Heather Barbour in Diversity and Inclusion;https://blog.ongig.com/diversity-and-inclusion/biased-language-examples/
general;bossy;"The term ""bossy"" is often used to disparage women and girls who display strong leadership qualities, reflecting a sexist double standard where similar traits in men and boys are praised. This word perpetuates workplace sexism by suggesting that women must temper their assertiveness with traditionally feminine behaviour. More appropriate terms positively acknowledge these qualities without gender bias.";"""strong-willed,"" ""driven,"" ""leadership-oriented""";April 30, 2024 by Heather Barbour in Diversity and Inclusion;https://blog.ongig.com/diversity-and-inclusion/biased-language-examples/
disability;lame;"The term ""lame"" is considered ableist as it historically refers to individuals with physical disabilities, and using it to describe something uncool or disappointing perpetuates negative stereotypes. More appropriate terms avoid evoking judgemental views of people with disabilities.";"""uncool,"" ""disappointing,"" ""shameful""";April 30, 2024 by Heather Barbour in Diversity and Inclusion;https://blog.ongig.com/diversity-and-inclusion/biased-language-examples/
disability;moron;"The term ""moron"" is considered ableist, as it historically referred to individuals with intellectual and developmental disabilities and was popularised by the eugenics movement, which promoted harmful and racist ideologies. To avoid perpetuating these negative biases, it is important to refrain from using such terms. More appropriate alternatives are respectful and accurate.";"""neurodivergent,"" ""disabled,"" ""disabled people""";April 30, 2024 by Heather Barbour in Diversity and Inclusion;https://blog.ongig.com/diversity-and-inclusion/biased-language-examples/
racial;driving miss daisy;"The phrase ""driving miss daisy,"" derived from a film and play, evokes racial bias due to its stereotypical portrayal of a Black chauffeur serving a white woman, reinforcing outdated racial dynamics. More appropriate alternatives avoid reinforcing these stereotypes.";"""providing transportation,"" ""chauffeuring,"" ""giving a lift"" ";ongig.com;
masculine;brother;"The term ""brother"" implies gender bias by assuming the role is male-specific. More appropriate alternatives avoid gender-specific language.";"""sibling,"" ""colleague,"" ""team member,"" ""co-worker""";ongig.com;
racial;nitty gritty;"The phrase ""nitty gritty"" is believed to have origins related to the unpleasant remnants in ship holds during the transatlantic slave trade. The ""nit"" refers to lice, and ""grits"" to the coarse grain used to feed enslaved people. More appropriate alternatives avoid these negative connotations.";"""the basic facts,"" ""the most important aspects,"" ""practical details,"" ""key parts,"" ""substance,"" ""details,"" ""essentials,"" ""core"" ";MailOnline, based on BBC's Avoiding Racial Bias guide;https://www.dailymail.co.uk/sport/sportsnews/article-8710535/BBC-hold-avoiding-racial-bias-training-session-air-talent-ahead-new-football-season.html
racial;nitty-gritty;"The phrase ""nitty gritty"" is believed to have origins related to the unpleasant remnants in ship holds during the transatlantic slave trade. The ""nit"" refers to lice, and ""grits"" to the coarse grain used to feed enslaved people. More appropriate alternatives avoid these negative connotations.";"""the basic facts,"" ""the most important aspects,"" ""practical details,"" ""key parts,"" ""substance,"" ""details,"" ""essentials,"" ""core"" ";MailOnline, based on BBC's Avoiding Racial Bias guide;https://www.dailymail.co.uk/sport/sportsnews/article-8710535/BBC-hold-avoiding-racial-bias-training-session-air-talent-ahead-new-football-season.html
racial;uppity;"The term ""uppity"" was historically used by white people during racial segregation in the USA to disparage Black individuals they felt were not showing enough deference. Black men and women were sometimes lynched by white mobs for appearing 'too uppity.'";"""agitated,"" ""chirpy,"" ""jumpy,"" ""perturbed,"" ""het up""";;
